Penelitian,Sitasi
Spektrum Teori Sosial Dari Klasik Hingga Postmodern,118
Gambier extracts as an inhibitor of calcium carbonate (CaCO 3) scale formation,57
Analisis Perbandingan Shielding Gardu Induk Menggunakan Model Electrogeometric,"(None,)"
SF6 ガス中インパルス絶縁破壊放電に対するカーボンナノチューブガスセンサの応答,"(None,)"
Penentuan Kapasitas Arus Surja Alat Proteksi Petir (SPDs) Yang Dibutuhkan Sebuah Gedung Yang Tersambar Petir Secara Langsung,"(None,)"
Application of carbon nanotube gas sensor to partial discharges detection for gas-insulated switchgear diagnosis,"(None,)"
Response of a carbon nanotube gas sensor to impulse discharges in SF 6 gas,"(None,)"
FAKTOR PENYEBAB TERJADINYA GELANDANGAN DAN PENGEMIS (Studi Pada Gelandangan dan Pengemis Di Kecamatan Tanjung Karang Pusat Kota Bandar Lampung),3
Good Governance Dalam Era Otonami Daerah,2
Sosiologi Suatu Skematika Teori dan Terapan,2
"Masyarakat, Dinamika Kelompok dan Implikasi Kebudayaan dalam Pembangunan",1
Latar Belakang Perilaku Seks Bebas dan Perkembangannya dalam Pola kehidupan Masyarakat,1
Sosio0logi Skematika,1
Pengantar Metode Statistik,1
FAKTOR-FAKTOR PENYEBAB DAN DAMPAK SESEORANG BERMAIN JUDI TOGEL (TOTO GELAP),1
STRATEGI DAN PENDEKATAN NILAI KEARIFAN LOKAL LAMPUNG DALAM PEMELIHARAAN KETENTERAMAN DAN KETERTIBAN MASYARAKAT DESA,"(None,)"
Peranan Guru Sekolah Dalam Mencegah Terjadinya Tawuran Dikalangan Pelajar (Studi di SMA Perintis 1 Bandar Lampung),"(None,)"
Faktor-Faktor Penyebab Dan Dampak Seseorang Bermain Judi Togel (Toto Gelap)(Studi di Desa Bengkulu Rejo Kecamatan Gunung Labuhan Kabupaten Way Kanan),"(None,)"
Gede AB 2002,3
Hukum Adat di Persimpangan,2
"Membedah Hukum Progresif, editor Gede Wiranata, et. al",2
Reorientasi Terhadap Struktur Tanah Sebagai Obyek Investasi,2
Membedah Hukum Progresif,2
"Masyarakat, Budaya Hukum, dan Kearifan Lokal di Era Globalisasi",1
Membedah Hukum Progresif,1
URGENSI DAN RELEVANSI PENGATURAN TANAH DALAM KEGIATAN PENANAMAN MODAL/INVESTASI,"(None,)"
PEMANFAATAN KREDIT MIKRO UNTUK MENDORONG PERTUMBUHAN USAHA KECIL PERSEORANGAN DI PROVINSI LAMPUNG,"(None,)"
UPAYA PERLINDUNGAN DAN PELESTARIAN SATWA DI TAMAN BURUNG BALI BIRD PARK DESA SINGAPADU KECAMATAN BATUBULAN KABUPATEN GIANYAR PROVINSI BALI,"(None,)"
Dynamic evolution control of interleaved boost dc-dc converter for Fuel Cell application,20
"A new approach of modelling, simulation of mppt for photovoltaic system in simulink model",19
Control of a bidirectional converter to interface ultracapacitor with renewable energy sources,19
Implementation of new control method based on dynamic evolution control with linear evolution path for boost dc-dc converter,17
Particle swarm optimization-based maximum power point tracking algorithm for wind energy conversion system,14
Dynamic evolution control for fuel cell DC-DC converter,14
A simple PEM fuel cell emulator using electrical circuit model,13
Dynamic evolution controller for single phase inverter application,12
"Peningkatan kemampuan berpikir kritis, kreatif, dan reflektif (K2R) matematis siswa SMP melalui pembelajaran berbasis masalah",41
Kemampuan berpikir kreatif matematis dan pembelajaran matematika berbasis masalah Open-Ended,34
Peningkatan kemampuan berpikir kritis matematis siswa SMP melalui pembelajaran berbasis masalah,24
"Problem posing, strategi efektif meningkatkan aktivitas siswa dalam pembelajaran matematika",23
Scaffolding dalam pembelajaran matematika,17
Self Efficacy Mahasiswa Terhadap Matematika,11
Evaluasi Kemampuan Berpikir Kreatif Matematis Siswa SMP,11
"Kemampuan Berpikir Kreatif Matematis: Apa, Mengapa dan Bagaimana",11
Model Pembelajaran ALQURAN (Alquran Teaching Model). Prosiding Seminar Nasional Mathematics,10
Problem-based learning dan kemampuan berpikir reflektif dalam pembelajaran matematika,10
Efektivitas Model Pembelajaran Kooperatif Tipe TPS Terhadap Pemahaman Konsep Matematis Siswa,9
Efektivitas Model Pembelajaran Kooperatif Tipe NHT Ditinjau dari Pemahaman Konsep Matematis Siswa,8
Desain Didaktis Teori Peluang SMA,6
Penerapan Model PBL untuk Meningkatkan Kemampuan Representasi Matematis Siswa,6
Fungsi dan pentingnya pertanyaan dalam pembelajaran,6
Isolation and cloning of cDNA of gene encoding for metallothionein type 2 from Melastoma affine,6
Efektivitas Pendekatan Realistik dalam Meningkatkan Kemampuan Menyelesaikan Soal Cerita dan Sikap Terhadap Matematika Ditinjau dari Kemampuan Awal Siswa Kelas IV SD di …,6
Metode Socrates dalam pembelajaran berpikir kritis aplikasi dalam matematika,5
Penerapan Model Pembelajaran Berbasis Masalah untuk Meningkatkan Kemampuan Representasi Matematis Siswa,5
"Manajemen Perkreditan Bank Umum (Teori, Masalah, Kebijakan dan Aplikasinya Lengkap dengan Analisis Kredit)",76
"Ovitrap surveillance of the dengue vectors, Aedes (Stegomyia) aegypti (L.) and Aedes (Stegomyia) albopictus Skuse in selected areas in Bentong, Pahang, Malaysia",22
Teknologi load balancing untuk mengatasi beban server,18
Manajemen Dana Bank,17
Pengantar Teori Moneter serta Aplikasinya pada Sistem Ekonomi Konvensional dan Syariah,15
"Reduced Cannibalistic Behavior of African Catfish, ",13
"Dengue vector surveillance in insular settlements of Pulau Ketam, Selangor, Malaysia",11
Teori dan Analisa Kredit serta ketentuanketentuan tentang beberapa jenis kredit,8
Teori dan Analisa Kredit,7
Keanekaragaman Hayati dan Struktur Ekologi Mangrove Dewasa di Kawasan Pesisir Kota Dumai-Propinsi Riau,7
The impact of climate change towards Malaysian paddy farmers,6
Application of Taguchi method in the optimization of turning parameters for surface roughness,49
The effect of dry machining on surface integrity of titanium alloy Ti-6Al-4V ELI,40
Machinalibilty of Ti-6Al-4V under dry and near dry condition using carbide tools,22
SURFACE INTEGRITY OF Ti-6Al-4V ELI WHEN MACHINED USING COATED CARBIDE TOOLS UNDER DRY CUTTING CONDIT,19
Progression and wear mechanism of CVD carbide tools in turning Ti-6Al-4V ELI,16
Taguchi optimization method for surface roughness and material removal rate in turning of Ti-6Al-4V ELI,14
Tool wear mechanism in continuous cutting of difficult-to-cut material under dry machining,12
Application of Taguchi method in optimizing turning parameters of titanium alloy,12
Traditional water wheels as a renewable rural energy,8
Tool life of TiAlN PVD coated carbide tool in high-speed end milling of untreated Inconel 718 under minimum quantity lubrication condition,7
Infective disease processes based on fractional differential equation,6
The effects of CBN cutting tool grades on the tool life and wear mechanism when dry turning of titanium alloy,6
Tool life modeling of Inconel 718 under MQL with coated carbide tool,5
Surface intergrity of Inconel 718 under MQL condition,4
Tool wear of PVD coated carbide tool when finish turning Inconel 718 under high speed machining,4
Cutting force analysis when milling Ti-6Al-4V under dry and near dry conditions using coated tungsten carbides,4
Surface integrity of AISI D2 when turned using coated and uncoated carbide tools,4
FEM Simulation of Machining AISI 1045 Steel Using Driven Rotary Tool.,3
Performance of PVD-coated carbide tools when turning inconel 718 in dry machining,3
Comparison between fuzzy and nn method for speech emotion recognition,56
Wajo pada abad XV-XVI: suatu penggalian sejarah terpendam Sulawesi Selatan dari lontaraʼ,35
Radiotracer method for residence time distribution study in multiphase flow system,29
Characterization of Fusarium proliferatum through species specific primers and its virulence on rice seeds,11
SIFAT FISIKO KIMIA BERAS MERAH GOGO LOKAL ENDE [The Physico-chemical Properties of Local Ende High Land Brown Rice],9
Dispersion determination in a turbulent pipe flow using radiotracer data and CFD analysis,7
"Isotope and gas geochemistry of Dieng geothermal field, Indonesia",7
Frontier approaches to production efficiency of commercial banks in Indonesia,6
"A survey of perception, knowledge, awareness, and attitude in regard to environmental problems in a sample of two different social groups in Jakarta, Indonesia",101
Content of cadmium in carrots compared with rice in Japan,25
ANALISIS KETEGARAN REGRESI ROBUST TERHADAP LETAK PENCILAN: STUDI PERBANDINGAN,2
RIDGE REGRESSION FOR HANDLING DIFFERENT LEVELS OF MULTICOLLINEARITY,"(None,)"
Regularized Multiple Regression Methods to Deal with Severe Multicollinearity,"(None,)"
Robust Estimation of Generalized Estimating Equation when Data Contain Outliers,"(None,)"
The Optimal Bandwidth for Kernel Density Estimation of Skewed Distribution: A Case Study on Survival Data of Cancer Patients,"(None,)"
A ROBUST PROCEDURE FOR GEE MODEL,"(None,)"
PERBANDINGAN KUASA UJI PENDEKATAN BIGGERS DAN SATTERTHWAITE-COCHRAN DALAM MENGANALISIS DATA HILANG PADA RANCANGAN KELOMPOK TERACAK LENGKAP,"(None,)"
inference for noisy samples,"(None,)"
Testing Normality and Bandwith Estimation Using Kernel Method For Small Sample Size,"(None,)"
Regresi Rasio Prevalensi dengan Model Log-Binomial: Isu Ketakkonvergenan,"(None,)"
"A survey of perception, knowledge, awareness and attitude in regard to environmental problems in a sample of two different social groups in Jakarta, Indonesia.","(None,)"
Demanding more of landscape research and researches.,"(None,)"
Environmental knowledge and beliefs among grade 10 students in Australia.,"(None,)"
How many words do Senior High School students acquire per week,6
Meanings of English Loanwords in Indonesian Articles of Sport,4
The Implementation of Think Pair Share Technique in Teaching Reading Comprehension,1
The Effectiveness of Explicit-Implicit Vocabulary Learning Using Subtitled-Video on Vocabulary Mastery of Students of MTs. Darul A'mal,1
Identifying learning strategies between successful and unsuccessful learners in reading comprehension,1
THE EFFECT OF TEACHING MORPHOLOGICAL ANALYSIS ON THE STUDENTS'READING COMPREHENSION ACHIEVEMENT,1
Implementing the Exclusive Learning Model in Teaching Reading Comprehension,1
The Shrinkage of Javanese Vocabulary,1
Implementing Clustering Technique in Teaching Descriptive Writing,"(None,)"
The Implementation of Guiding Question Technique in Increasing the Students’ Writing Analytical Exposition Text,"(None,)"
The Implementation of Rap Strategy to Improve Students’ Reading Comprehension,"(None,)"
Question Answer Relationship (QAR) In Teaching Reading Comprehension At SMPN5 Bandar Lampung,"(None,)"
Teaching Vocabulary Using Storytelling,"(None,)"
The Study of Speech Act Sets of Refusal on Indonesian Students Speaking English,"(None,)"
Integrating Jigsaw within SA in Comparison to the Conventional SA in Teaching Reading,"(None,)"
The Use Of Task Complexity In Spoken Performance By The 10th Students Of Sman 2 Padang Cermin,"(None,)"
A TEACHING PRACTICE INCORPORATING STUDENTS’GOAL AND INSTITUTIONAL GOAL IN BIG-SIZED ENGLISH CLASSES,"(None,)"
Teaching the Simple Past Tense through Explicit Instruction and Implicit Instruction,"(None,)"
The Use of Crossword Puzzle Game and Clustering Technique on Vocabulary Size,"(None,)"
Sosiologi Ekonomi,74
Dunia simbol orang Jawa,24
Sosiologi Agama dari Klasik Hingga Postmodern,18
Edelweiss van Jogja: pengabdian abdidalem Keraton Yogyakarta dalam perspektif sosio-fenomenologi,5
Sosiologi Agama,4
Muslim Students and Attitudes toward Gay Men,1
Men’s Engagement in Reproductive Health and Prevention of Gender-Based Violence,1
Konflik Sosial di Era Reformasi,1
Production of metal ion imprinted polymer from mercapto–silica through sol–gel process as selective adsorbent of cadmium,56
Adsorption kinetics and isotherm of Cd (II) ion on Nannochloropsis sp biomass imprinted ionic polymer,22
"Immobilization of S. duplicatum supported silica gel matrix and its application on adsorption–desorption of Cu (II), Cd (II) and Pb (II) ions",17
"Isoterm Adsorpsi ion Pb (II), Cu (II) dan Cd (II) pada Biomassa Nannochloropsis sp yang Dienkapsulasi Akuagel Silika",13
Amino and Mercapto-Silica Hybrid for Cd (II) Adsorption in Aqueous Solution,11
"BIOSORPTION OF METAL IONS Pb (II), Cu (II), AND Cd (II) ON Sargassum duplicatum IMMOBILIZED SILICA GEL MATRIX",7
"THE ROLE OF C-METHYL-4, 10, 16, 22-TETRAMETOXY CALIX [4] ARENE AS INHIBITOR OF CALCIUM CARBONATE (CaCO 3) SCALE FORMATION",5
Adsorption competition of Cu (II) ion in ionic pair and multi-metal solution by ionic imprinted amino-silica hybrid adsorbent,3
Production of ionic imprinted polymer from Nannochloropsis sp biomass and its adsorption characteristics toward Cu (II) ion in solutions,3
Immobilization of Chetoceros sp Microalgae with Silica Gel through Encapsulation Technique as Adsorbent of Pb Metal from Solution,3
"Sintesisc-Metil-4, 10, 16, 22-Tetrametoksi Kaliks [4] Arena dan Peranannya Sebagai Inhibitor Pembentukan Kerak Kalsium Karbonat (CaCO3)",3
Immobilisasi Biomassa Alga dengan Polimer Pendukung sebagai Material Bioreaktor,3
Modification of Gambier extracs as green inhibitor of calcium carbonate (CaCO3) scale formation,2
Inhibition of calcium carbonate (CaCO3) scale formation by calix [4] resorcinarene compounds,2
Influence of Calix [4] arene Derived Compound on Calcium Sulphate Scale Formation.,2
Chemical Stability of Cd (II) and Cu (II) Ionic Imprinted Amino-Silica Hybrid Material in Solution Media,2
CHEMICAL STABILITY AND ADSORPTION SELECTIVITY ON Cd 2+ IONIC IMPRINTED Nannochloropsis sp MATERIAL WITH SILICA MATRIX FROM TETRAETHYL ORTHOSILICATE,2
KARAKTERISTIK PENGIKATAN ION Cd (II) dan Cu (II) DALAM PEMBUATAN HIBRIDA AMINO-SILIKA IMPRINTED IONIK,2
"Buhani,(2007) Perancangan Alat Alat Proses Adsorpsi dengan Metode Kontinyu Berbasis Pengendali Logika Terprogram PLC Omron Zen 10C1AR-A",2
Implementation of new control method based on dynamic evolution control for DC-DC power converter,11
Mechanical energy harvesting devices for low frequency applications: revisited,6
Development of a current control ultracapacitor charger based on digital signal processing,6
Purification and Characterization of Extracellular α-Amilase Enzyme from Locale Bacteria Isolate Bacillus subtilis ITBCCB148,27
Handover procedure and decision strategy in LTE-based femtocell network,137
Manajemen Perkreditan Bank Umum: Teori,6
Manajemen Kredit Bank,6
"Assessment on the acceptability of hybrid grouper, Epinephelus fuscoguttatus♀× Epinephelus lanceolatus♂ to soybean meal-based diets.",5
Evaluation and selection of mutative artemisia (Artemisia annua L.) according to the altitude variants,4
Pengantar Teori Moneter,4
Teknologi Multi Protocol Label Switching (MPLS) untuk Meningkatkan Performa Jaringan,4
Survey Atribut Kepuasan Pelanggan Bright PLN Kota Batam Tahun 2016,3
